"uri","name","en_name","code","status","status_note","policy_area","lead_dg","associated_dg","group_type","scope","mission","task","composition","active_since","last_updated","creating_act","abbreviation","link_to_website"
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=92","Groupe consultatif ""Fourrages séchés""","Advisory Group ""Forage dried""","E00092","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG","DEVCO - Development DG","Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Agriculture,External trade,Industry)","17/01/06","13 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=93","Groupe consultatif ""Amidon""","Advisory Group ""Starch""","E00093","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Agriculture,External trade,Industry)","17/01/06","13 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=94","Groupe consultatif ""Semences""","Advisory Group ""Seeds""","E00094","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Agriculture,External trade,Labour interests,Consumer affairs,Industry)","17/01/06","13 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=95","Groupe consultatif ""Sucre""","Advisory group ""Sugar""","E00095","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Environment,Agriculture,External trade,Labour interests,Consumer affairs,Industry)","17/01/06","13 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=96","Groupe consultatif ""Riz""","Advisory Group ""Rice""","E00096","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Agriculture,Environment,External trade,Industry)","17/01/06","13 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=97","Groupe consultatif ""Cultures énergétiques et non alimentaires""","Advisory Group on Energy Crops and non-food ""","E00097","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Environment,Agriculture,External trade,Labour interests,Consumer affairs,Industry)","17/01/06","13 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=98","Groupe consultatif ""Coton""","Advisory Group ""Cotton""","E00098","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Agriculture,External trade,Industry)","17/01/06","13 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=99","Groupe consultatif ""Lin et chanvre""","Advisory Group on Flax and Hemp ""","E00099","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Agriculture,External trade,Industry)","17/01/06","13 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=100","Groupe consultatif ""Lait""","Advisory Group ""Milk""","E00100","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Environment,Agriculture,External trade,Labour interests,Consumer affairs,Industry)","17/01/06","13 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=101","Groupe consultatif ""Viande bovine""","Advisory Group ""Beef""","E00101","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Environment,Agriculture,External trade,Labour interests,Consumer affairs,Industry)","17/01/06","09 Dec 2010","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=102","Groupe consultatif ""Viande ovine et caprine""","Advisory Group on Meat sheep and goats ""","E00102","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Environment,Agriculture,External trade,Labour interests,Industry)","17/01/06","09 Dec 2010","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=103","Groupe consultatif ""Viande porcine""","Advisory Group ""Pigmeat""","E00103","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Environment,Agriculture,External trade,Labour interests,Consumer affairs,Industry)","17/01/06","09 Dec 2010","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=104","Groupe consultatif ""Viande de volailles et œufs""","Advisory Group on Meat, poultry and eggs ""","E00104","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","AGRI-K3-CC@ec.europa.eu
Coordinates with Member States, exchange of views","NGO (Agriculture,External trade,Labour interests,Consumer affairs,Industry)","17/01/06","09 Dec 2010","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=105","Groupe consultatif ""Apiculture""","Advisory Group on Beekeeping ""","E00105","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Agriculture,External trade,Industry)","17/01/06","13 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=106","Groupe consultatif ""Fruits et légumes""","Advisory Group on Fruits and Vegetables","E00106","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Agriculture,Environment,External trade,Labour interests,Consumer affairs,Industry)","17/01/06","10 Dec 2010","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=107","Groupe consultatif ""Floriculture et plantes ornementales""","Advisory Group on Floriculture and Ornamental Plants ""","E00107","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Agriculture,Labour interests, Consumer affairs,External trade,Labour interests,Consumer affairs, External trade)","17/01/06","13 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=108","Groupe consultatif ""Vitivinicole""","Advisory Group ""wine""","E00108","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Agriculture,External trade,Labour interests,Consumer affairs,Industry)","17/01/06","13 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=109","Groupe consultatif ""Boissons spiritueuses""","Advisory Group ""spirit drink""","E00109","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Agriculture,External trade,Labour interests,Consumer affairs,Industry)","17/01/06","13 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=110","Groupe consultatif ""Olives et produits dérivés""","Advisory Group ""Olives and derivatives""","E00110","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Environment,Agriculture,External trade,Labour interests,Consumer affairs,Industry)","17/01/06","13 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=111","Groupe consultatif ""Tabac""","Advisory Group on Tobacco ""","E00111","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Agriculture,External trade,Labour interests,Consumer affairs,Industry)","17/01/06","13 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=112","Groupe consultatif ""Houblon""","Advisory Group ""Hops""","E00112","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Agriculture,External trade,Labour interests,Industry)","17/01/06","13 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=113","Groupe consultatif ""Forêts, y inclus liège""","Advisory Group on Forestry and Cork","E00113","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Agriculture,Environment,External trade,Labour interests,Consumer affairs,Forestry,Industry)","17/01/06","13 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=114","Groupe consultatif ""Développement rural""","Advisory Group on Rural Development ""","E00114","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Economy,Environment,Agriculture,Education,Land management,External trade,Development,Consumer affairs,Industry)
International organization (External trade)
International organization)
(Agriculture,Labour interests)
Candidate country (Agriculture)
Candidate country (Information society)","17/01/06","13 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=115","Groupe consultatif ""Femmes en milieu rural""","Advisory Group on Rural Women ""","E00115","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Agriculture,External trade,Labour interests,Consumer affairs,Industry,Equal opportunities)","17/01/06","13 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=116","Groupe consultatif ""Agriculture et environnement""","Advisory Group on Agriculture and the Environment","E00116","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Formal, Permanent","Limited","Ces groupes peuvent être consultés par la Commission sur toutes les questions concernant  le fonctionnement des différentes organisations communes de marchés et les autres domaines couverts par la politique agricole commune (PAC) et par la politique du développement rural.","Dialogue with stakeholders on Common Agricultural Policy and its measures","NGO (Agriculture,Environment,External trade,Consumer affairs,Industry)
(Labour interests)","17/01/06","13 May 2011","Décision de la Commission 2004/391/CE du 23 avril 2004 (JO L120 du 24/04/2004 p.50-60)",,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=118","Expert Group on Agriculture and Climate Change ","Expert Group on Agriculture and Climate Change","E00118","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG","ENV - Environment DG
CLIMA - Climate Action DG","Informal, Permanent","Limited","To facilitate the exchange of information, experiences and good practices in the area of agriculture and climate change; to advise the Commission on issues related to the link between agriculture and climate change.","Assist the Commission in the preparation of legislation or in policy definition
Coordinates with Member States, exchange of views","National Administrations
Agriculture","28/09/05","23 May 2011",,,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=119","Genetic Resources in Agriculture","Genetic Resources in Agriculture","E00119","On Hold","Group which does not operate on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG","BUDG - Budget DG
ELARG - Enlargement DG
ENV - Environment DG
RTD - Research DG
SANCO - Health and Consumers DG
DEVCO - Development DG
FPIS - Foreign Policy Instruments Service","Informal, Permanent","Limited","To facilitate the exchange of information, experiences and good practices in the area of genetic resources in agriculture.","Coordinates with Member States, exchange of views
Provides expertise to the Commission when drafting of implementing measures, i.e. before the Commission submits these draft measures to a comitology committee","National Administrations","28/09/05","28 Apr 2011",,"RESGEN",
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=120","Simplification de la législation agricole ","Simplification of agricultural legislation","E00120","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Informal, Permanent","Limited","Le groupe a pour mission d'assurer l'échange d'information, d'expériences et de bonnes pratiques dans le domaine de la simplification de la législation agricole.","Coordinates with Member States, exchange of views","National Administrations","28/09/05","03 May 2011",,,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=121","Certification des comptes FEOGA, section ""garantie"" ","Certification of accounts EAGGF Guarantee Section","E00121","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG","BUDG - Budget DG","Informal, Permanent","Limited","Organismes de certification","Assist the Commission in the preparation of legislation or in policy definition
Coordinates with Member States, exchange of views
Provides expertise to the Commission when drafting of implementing measures, i.e. before the Commission submits these draft measures to a comitology committee","National Administrations","28/09/05","23 May 2011",,,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=123","Legislation on Organic Farming ","Legislation on Organic Farming","E00123","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Informal, Permanent","Limited","To advise the Commission on issues relating to the policy and regulation on organic farming. To establish close cooperation between the institutions of the Member States and the Commission on issues relating to the legislation on organic farming. To monitor the development of policies in the area of organic food and farming","Assist the Commission in the preparation of legislation or in policy definition
Coordinates with Member States, exchange of views
Provides expertise to the Commission when drafting of implementing measures, i.e. before the Commission submits these draft measures to a comitology committee","National Administrations
NGO","28/09/05","07 Dec 2010",,,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=124","Groupe d'experts pour l'huile d'olive ","Expert Group for olive oil","E00124","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Informal, Permanent","Limited","Informer la Commission des avancées en matière de chimie oléicole afin de lui permettre de prendre les décisions pertinentes relatives à la mise en œuvre des mesures pour la commercialisation, la normalisation et la classification des huiles d'olive.","Assist the Commission in the preparation of legislation or in policy definition
Provides expertise to the Commission when drafting of implementing measures, i.e. before the Commission submits these draft measures to a comitology committee","National Administrations
Agriculture
Agriculture","09/01/06","07 Dec 2010",,,
"http://ec.europa.eu/transparency/regexpert/detailGroup.cfm?groupID=125","Normalisation fruits et légumes ","Fruit and Vegetable Standardization","E00125","Active","Group which operates on a permanent basis","Agriculture","AGRI - Agriculture and Rural Development DG",,"Informal, Permanent","Limited","Etablir une coopération entre les instances des Etats membres et la Commission sur les questions relatives aux normes de commercialisation fruits et légumes.","Assist the Commission in the preparation of legislation or in policy definition
Coordinates with Member States, exchange of views","National Administrations","03/02/06","06 May 2011",,,
